,이름,제조사,주원료,규격,도수,설명
750,금정산성막걸리,금정산성 토산주,"백미, 밀(누룩), 정제수",750ml,8%,금정산성막걸리는 술빚기에 적합한 온도와 습도가 유지되는 해발 400m의 청정 환경을 갖춘 금정산성마을에서 제조된다. 깨끗한 자연환경속에서 발효된 자연산 누룩과 250m의 암반수를 사용하여 금정산성 전통 막걸리의 맛을 그대로 느낄 수 있는 알코도수 8도의 100% 국내산 살아있는 쌀막걸리로 누룩 질이 전국 으뜸이며 산수로 술을 빚기 때문에 은은한 향과 구수한 맛이 일품이다.
751,부안참뽕막걸리,동진주조,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",950ml,6%,막걸리와 오디를 넣은 과실막걸리다. 탄산이 첨가되어 청량감을 주며 텁텁함이 없이 깔끔한 것이 특징으로 오디가 첨가되어 색깔이 보랏빛을 띄고 있다. 살균 처리가 되어 있어 상온에서도 보관이 가능하며 보존기간이 길며 깔끔하고 깨끗한 뒷맛은 물론 오디의 빛깔까지 갖추고 있어 눈과 입을 동시에 만족시켜 주는 막걸리다.
752,술취한 원숭이,술샘,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",375ml,10.8%,"붉은 쌀 홍국을 넣어 만들어 말린 장미처럼 고혹적인 붉은빛을 띠는 막걸리다. 인공색소나 합성감미료 없이 쌀과 홍국, 누룩, 물로만 빚어 만든다. 막걸리 특유의 부드러운 곡향이 진하지만 달지 않고 드라이해 어떤 음식과도 잘 어울린다. 살균탁주 버전 ‘붉은 원숭이’도 있다."
753,우리밀 막걸리 향수,이원양조장,"쌀, 밀, 입국, 누룩, 정제수",700ml,9%,향수 우리밀 막걸리는 충북 옥천을 대표하는 막걸리로 알코올 도수 9도로 충북에서 자란 금강밀로 생산하고 있다. 1930년대 증조부 때부터 옥천에서 술을 빚고 있는 이원양조장은 80여 년에 걸쳐 4대째 술을 빚고 있다. 우리밀의 진한 맛과 향을 느껴보실 수 있다.
754,홍천강 탁주,예술주조,"홍천 쌀, 정제수, 국(밀 누룩)",500ml,11%,홍천강 탁주는 강원도 골짜기에서 골골히 모여 내려오는 계곡물로 이루어진 홍천강의 청정한 이미지를 형상화 했다. 홍천의 쌀과 누룩으로 숙성시킨 전통주로 찹쌀과 멥쌀을 3:1 비율로 섞어 빚은 이양주(두 번 빚은 술)로 멥쌀 술 특유의 드라이함과 담백함을 가지고 있다. 홍천강 탁주는 아스파탐 등의 감미료가 들어가지 않는 생 탁주로 전통누룩을 사용하고 홍천의 쌀과 멥쌀을 이용하여 두 번을 빚는 이양주다. 기교를 부리지 않고 있는 그대로 만들어 내는 홍천 예술의 전통을 그대로 느낄 수 있는 전통주로 옛 막걸리의 맛을 느끼기에 알맞는다.
755,미소 생막걸리,울진술도가,"쌀(국내산), 누룩, 정제수",750ml,7%,경상북도 울진군에서 생산되는 막걸리이며 할아버지에서 손자에 이르기까지 3대에 걸쳐 약 90여년이라는 시간을 통해 그 내력을 이어오고 있는 제품이다. 자연환경생태보존지역인 울진의 깨끗한 자연환경에서 선물 받은 맑고 깨끗한 지하 암반수와 엄선된 원료 그리고 현대적인 위생시설에서 정성을 더하여 만들고 있다. 다른 막걸리 제품과는 달리 막걸리 본연의 맛을 유지하기 위해 알코올 도수 7%를 유지하고 있으며 천연탄산의 청량감과 새콤달콤한 맛의 특징을 가지고 있다.
756,왕피천을 품은 미소생막걸리,울진술도가,"쌀, 누룩, 정제수",750ml,7%,울진 왕피천에서 올라오는 맑은 물 맛과 쌀 막걸리 특유의 부드러움과 하늘하늘한 가벼움이 느껴지는 막걸리다. 경상북도 울진군에서 생산되는 막걸리이며 할아버지에서 손자에 이르기까지 3대에 걸쳐 약 90여년이라는 시간을 통해 그 내력을 이어오고 있는 제품이다. 다른 막걸리 제품과는 달리 막걸리 본연의 맛을 유지하기 위해 알코올 도수 7%를 유지하고 있으며 천연탄산의 청량감과 새콤달콤한 맛의 특징을 가지고 있다.
757,붉은 원숭이,술샘,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",375ml,10.8%,"붉은 원숭이는 술샘에서 장미를 그대로 말려놓은 것 같은 매력적인 홍국쌀로 만든 탁주다. 곡물의 부드러움을 잘 갖추고 있으며, 일반 막걸리와 달리 달지 않고 입안에 남는 끝맛이 깔끔한 것이 특징이다. 홍국쌀은 경기미를 자연발효 시켜 만드는 쌀로, 술샘은 이를 이용해 100% 수작업으로 붉은 원숭이를 빚는다."
758,느린마을 막걸리,배상면주가,"쌀, 국, 효모, 정제수",750ml,6%,"느린 마을 막걸리는 계절마다 맛이 약간씩 다르다. 쌀과 물, 누룩만을 이용해서 빚는 술이기 때문에 계절에 따라 온도와 습도 등 계절마다 다른 숙성 환경이 그 이유인데, 일체 다른 인공감미료를 넣지 않아 만들어 원재료 그대로의 맛을 느낄 수 있는 막걸리다. 여름에 잘 익은 과일향이 올라오고 독특한 단맛을 가지고 있는 것이 특징이며, 입 안에 연하게 남는 쓴맛이 음식과의 조화를 잘 이룬다."
759,부자 송산포도,배혜정도가,"쌀, 누룩, 포도즙",375ml,9%,"고려시대부터 기록으로만 전해오던 쌀과 포도로 빚은 전통탁주를 배혜정도가의 노하우로 빚어낸 신개념 쌀포도 탁주다. 조선시대때 기록된 양주방에 나오는 포도주는 포도즙을 짜내어 찐 찹쌀과 소맥곡의 가루를 섞은 것이며, 중국의 북산주경에 나오는 포도주라 할 수 있는 것도 쌀밥과 소맥곡의 가루에 포도즙을 넣은 것이다. 고려시대 때 포도주라고 기록되어 있는 것은 배혜정도가의 부자 송산포도막걸리와 유사한 아시아식 포도주, 즉 쌀, 누룩, 포도즙으로 빚은 포도주라고 할 수 있다."
760,매화마름 호랑이 막걸리,배혜정도가,쌀,375ml,7%,매화마름 호랑이 막걸리는 선조부터 물려받은 누룩과 양조기술로 빚은 발효과학이 많이 집약 되어 있는 프리미엄 막걸리다. 사용 된 누룩은 독자적으로 개발한 액상 누룩이며 제조방법 특허 보유 중인 배혜정도가 기술력의 상징이다. 호랑이 막걸리는 멸종위기식물 매화마름을 보존하는 한국내셔널트러스트의 매화마름쌀로 빚었다. 이 쌀은 논으로는 세계 최초로 람사르습지로 등록 된 강화 매화마름 군락지에 서식하는 논에서 수확한 유기농 쌀이다.
761,우곡주,배혜정도가,쌀,375ml,13%,"우곡주는 조선시대까지 양반과 부자층이 마셨던 주정 13도의 전통 탁주로 구연산이 주성분인 일반 탁주와 달리 젖산 외에 다양한 유기산을 풍부하게 함유하고 있어 별도의 조미료가 필요없는 자연의 맛 그대로 즐길 수 있는 술이다.  우곡주는 오랜 연구를 통해 발효미생물의 발효균형기술로 탄생한 제품으로, 국내산 유기농 백미를 사용한 첨가물이 없는 자연 그대로의 제품이다."
762,백련 생막걸리 snow (스노우),신평양조장,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",750ml,6%,간척지 토양에 서해안 해풍을 맞고 자란 충남 당진 쌀을 주원료로 깔끔한 맛을 내기 위해 백련잎을 첨가해 80년 전통의 발효전통으로 빚어낸 고품격 막걸리다. 부담없이 가볍게 즐길 수 있는 백련막걸리 보급형 제품으로 하얀 눈처럼 순백의 이미지와 시원하고 깔끔한 맛이 특징이 있다. 색은 희고 맑으며 은은하게 올라오는 달콤한 향기와 신선한 식물향이 난다. 전체적으로 오미의 균형을 잘 갖추고 있으며 목넘김이 매우 깔끔하다.
763,꿀막걸리,청산녹수,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",750ml,8%,"청산녹수만의 전통 누룩을 사용하여 전통적인 막걸리 맛을 지키면서 트랜디한 단맛을 자랑하는 제품이다. 청산녹수 꿀막걸리는 청산녹수 생탁에 천연 벌꿀을 가미하여 젊은 여성 소비자가 막걸리에 대한 거부감 없이 쉽게 접할 수 있도록 만든 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. 독특하게 곡물의 고소함과 유자 향이 섞여 올라온다. 술을 입에 넣으면 단맛은 매우 적고 산미와 쓴맛의 조화가 매우 잘 갖춰져 있다."
764,생탁주,청산녹수,"쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",750ml,6%,"농업회사법인㈜청산녹수에서 생산하고 있는 제품으로 막걸리 본연의 맛을 간직한 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. ㈜청산녹수만의 전통 누룩을 사용하여 은은한 바나나 향과 부드러운 질감이 특징이다."
765,호담 산양산삼 막걸리,대농바이오우리산삼,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",750ml,6%,"호담 산양산삼 막걸리는 천해의 자연에서 재배된 산양산삼과 경기미로 저온 숙성 발효시켜 산양산삼의 깊은 향과 진한 맛이 특징으로 숙취감이 적고 목 넘김이 부드러운 제품이다. 2017년 대한민국 우리술품평회에서 새롭게 신설된 베스트 오브 베스트상인 대통령상을 수상하여 최고의 제품으로 선정된 우수한 품질의 제품이다. 입국과 쌀을 이용한 하얀색의 생막걸리로 곡물 발효 향과 인삼 향이 가득하며, 단맛이 적고 신선한 산미가 전체적으로 술을 깔끔하게 만들어 주는 것이 특징이다."
766,월매 쌀막걸리(캔),서울장수㈜,"백미, 말토올리고당, 정제수",350ml,6%,월매쌀막걸리는 탄산과 막걸리의 절묘한 만남으로 탄생한 신세대 맞춤용 막걸리이다. 저온에서 완전숙성시킨 후 첨단 설비로 살균처리하고 천연탄산을 첨가했다. 신선하게 톡 쏘는 맛과 상큼한 맛이 일품이며 뒷맛이 개운하고 트림과 숙취가 없다. 캔 포장이라 휴대가 간편하고 장기 보존이 가능한 현대적인 막걸리이다.
767,시인의마을,이원양조장,"쌀(국내산), 누룩, 정제수",700ml,10%,시인의 마을 우리쌀 막걸리는 충북 옥천을 대표하는 막걸리로 알코올 도수 10도로 국내산 쌀로 생산하고 있다. 대부분의 양조장이 흩임누룩을 사용하여 술을 빚지만 이원양조장은 자신들만의 누룩을 함께 사용하여 양조장 고유의 막걸리 맛을 지켜가고 있다.
768,아이원 막걸리,이원양조장,"쌀, 밀, 입국, 누룩, 정제수",750ml,6%,아이원 막걸리는 충북 옥천을 대표하는 막걸리로 알코올 도수 6도로 쌀과 밀을 혼합하여 생산하고 있다. 초기에는 제품명이 이원막걸리였으나 2016년 2월에 젊은 층도 좋아할 수 있는 현대적인 맛을 가미하여 아이원 막걸리로 재탄생 하였다. 아이원 막걸리는 오랜 전 시골 양조장에서 만들었던 막걸리의 맛을 간직하고 있다. 현재 양조장을 운영하고 있는 4대째 강현준 대표는 2016년부터 양조장 시설을 현대화 하였으나 근래 일반적인 스테인레스 발효조 보다는 300~400L 크기의 항아리를 이용해 발효하는 전통방식만은 고집하고 있다. 전통적인 지역 막걸리의 맛을 지키면서도 현대적인 맛을 가미한 아이원 막걸리는 이제 옥천 지역을 넘어 많은 곳에서 막걸리 애호가의 입맛을 사로잡고 있다.
769,도문대작 생막걸리,방풍도가,"강릉 쌀, 누룩, 갯방풍나물, 정제수",750ml,10%,"방풍도가에서 생산하고 있는 방풍막걸리 &quot;도문대작&quot;은 강릉 지역의 특산품인 방풍나물을 첨가해서 빚는 향약주이다. 도문대작 막걸리는 도수는 10%로 일반적으로 6%에 분포되어 있는 막걸리보다는 알코올 함량이 높다. 색은 뽀얀 두유색으로 묵직한 질감이 느껴진다. 향은 굉장히 드라이한 편이고 단맛은 거의 없고 산미가 있고 쓴맛이 많이 나는 막걸리이다. 또 탄산은 적은 편이어서 탁한 정도가 높고 입자는 곱고 부드러운 편이다. 튀지 않고 은은하게 올라오는 곡물 발효향이 좋고, 단맛이 적고 적절한 산미가 입 안의 느낌을 매우 깔끔하게 만들어 준다."
770,미인탁주,최행숙전통주가,"찹쌀, 누룩, 정제수",500ml,10%,"미인탁주는 국내산 찹쌀과 우리밀누룩으로 빚고 일체의 인공첨가물이 들어가지 않은 프리미엄 막걸리이다. 일반적인 막걸리와 비교해 텁텁하지 않고 깔끔한 뒷맛을 자랑하는 막걸리로 찹쌀이 가진 본연의 맛과 살짝 감도는 달달함, 부드러운 목 넘김, 향긋한 향이 일품이다. 파주 민통선 내에서 직접 재배한 인삼을 활용하여 찐쌀의 풍미를 잡아 미인탁주만의 독특한 맛을 만들어내고 있다. 우리밀누룩을 사용해 연해 아이보리 색을 가지고 있으며, 완전 발효 후에 술을 걸러 탄산에 의한 청량감은 적으나 크림처럼 매우 부드러운 곡물 맛을 가지고 있는 것이 특징이다."
771,삼양춘 생탁주,송도향전통주조,"강화섬쌀, 전통누룩, 정제수",500ml,12.5%,"삼양춘(三釀春)은 세 번 빚어 맛과 향이 뛰어난 최고급 발효주의 의미를 가지고 있다. 삼양춘은 ‘세 번 빚는다’라는 의미로서 삼양(三釀)을, ‘술은 겨울에 빚어 봄에 마셔야 맛있다’는 말에서 춘(春)을 취했다. 예로부터 세 번 빚는 최고급 발효주를 특별히 춘주(春酒)라 하였다 한다. 밀 누룩을 이용해 맑은 아이보리 색을 가지고 있으며 막걸리이지만 발효 기간이 길어 탄산에 의한 청량감은 없지만 술 자체의 산미가 전체 술 맛의 조화를 잘 갖게 만들어 준다."
772,술예쁘다 생탁주,좋은술,"국내산 쌀, 누룩",500ml,13%,술예쁘다 생탁주는 시중에 출시되어 있는 전통주와는 원료와 제조방법에서 완전히 차별화를 기하고 국내산 누룩과 1등급 평택 슈퍼오닝쌀만을 이용해 삼양주로 빚고 100일간의 발효과정과 장기 저온숙성 과정을 거쳐 탄생한 프리미엄 막걸리이다. 인공감미료 및 방부제는 사용하지 않은 순수 쌀과 누룩만으로 빚은 건강한 술이다. ;술예쁘다 생탁주는 차갑게 보관 했다가 와인잔에 따라 마신다. 얼음 한 두개를 넣어서 마시면 청량감을 더욱 높일 수 있다.
